UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Power_kW,Vibration_mms,Machine_failure
1,L00001,L,297.0,306.4,1657,27.8,155,4.818,16.85,0
2,H00002,H,297.7,307.4,1502,33.8,185,5.321,22.647,0
3,M00003,M,300.8,309.7,1631,21.3,3,3.64,12.881,0
4,L00004,L,297.7,306.8,1297,39.3,85,5.333,30.184,0
5,L00005,L,302.2,312.7,1529,45.9,193,7.343,29.995,0
6,L00006,L,299.9,310.0,1360,26.5,101,3.778,19.4,0
7,L00007,L,300.2,310.7,1256,40.2,91,5.283,31.937,0
8,M00008,M,299.4,309.7,1328,32.0,238,4.443,23.938,1
9,M00009,M,301.5,312.3,1391,46.7,138,6.801,33.518,0
10,M00010,M,301.6,312.4,1749,16.9,48,3.087,9.541,1
11,L00011,L,300.7,308.9,1386,47.1,118,6.838,34.035,0
12,H00012,H,301.1,310.3,1246,21.8,130,2.847,17.609,1
13,M00013,M,299.6,309.3,1526,37.9,247,6.058,24.873,0
14,L00014,L,301.1,311.1,1506,32.9,180,5.19,22.115,0
15,L00015,L,299.3,308.7,1402,36.4,130,5.342,26.059,0
16,L00016,L,300.0,310.9,1468,24.7,108,3.797,16.923,0
17,L00017,L,299.5,311.4,1695,56.6,229,10.048,33.38,1
18,L00018,L,299.1,309.3,1634,27.1,161,4.643,16.574,0
19,L00019,L,298.6,308.7,1617,27.9,89,4.728,17.398,0
20,L00020,L,300.9,311.8,1263,57.9,116,7.666,45.846,0
21,M00021,M,302.6,310.8,2077,43.2,70,9.403,20.813,1
22,L00022,L,302.3,312.4,1710,27.5,240,4.918,16.037,0
23,L00023,L,297.5,308.5,1603,38.7,175,6.5,24.198,0
24,L00024,L,302.6,311.9,1267,37.6,98,4.995,29.796,0
25,L00025,L,299.4,308.1,1690,23.1,46,4.091,13.793,0
26,M00026,M,301.2,311.0,1400,32.4,44,4.752,23.129,0
27,L00027,L,298.2,308.1,1461,39.7,119,6.08,27.213,0
28,L00028,L,300.3,309.4,1164,52.7,117,6.419,45.283,0
29,L00029,L,300.6,312.7,1252,38.1,104,4.996,30.594,0
30,L00030,L,297.0,306.6,1588,38.9,213,6.462,24.299,0
31,M00031,M,301.2,310.1,1701,31.8,245,5.674,18.722,0
32,L00032,L,302.7,312.6,1637,51.0,89,8.736,31.066,0
33,L00033,L,299.7,310.6,1630,49.0,74,8.369,30.019,0
34,H00034,H,302.7,312.7,1487,47.9,193,7.458,32.122,0
35,H00035,H,299.6,310.1,1419,41.1,112,6.109,29.038,0
36,M00036,M,301.7,310.8,1558,24.0,54,3.917,15.171,0
37,L00037,L,295.6,307.1,1664,50.9,45,8.865,30.55,0
38,L00038,L,304.8,315.4,1501,40.6,70,6.377,26.849,0
39,M00039,M,303.0,314.0,1742,36.9,0,6.734,21.121,0
40,L00040,L,299.4,309.8,1457,44.5,235,6.787,30.511,0
41,L00041,L,296.1,306.9,1304,42.2,108,5.768,32.355,0
42,L00042,L,300.6,309.7,1498,29.3,21,4.597,19.634,0
43,L00043,L,297.1,306.6,1521,36.8,41,5.861,24.311,0
44,H00044,H,300.9,312.2,1484,21.0,81,3.256,14.323,1
45,L00045,L,300.8,312.4,1756,40.9,138,7.514,23.266,0
46,M00046,M,298.1,307.0,1661,53.3,176,9.272,32.205,1
47,L00047,L,302.2,312.5,1214,22.0,77,2.802,18.307,1
48,L00048,L,301.6,311.2,1807,41.3,239,7.812,22.802,0
49,L00049,L,302.0,311.3,1000,46.7,190,4.889,46.808,0
50,L00050,L,300.0,310.3,1930,48.2,206,9.735,24.735,1
51,H00051,H,297.2,308.3,1443,32.5,81,4.915,22.586,0
52,M00052,M,302.0,312.4,1462,29.0,95,4.437,19.98,0
53,H00053,H,299.5,309.1,1488,34.1,135,5.318,22.946,0
54,M00054,M,297.2,307.7,1577,51.9,113,8.573,32.896,0
55,L00055,L,302.7,312.3,1500,22.9,65,3.598,15.251,0
56,H00056,H,304.2,314.6,1473,27.8,249,4.295,19.043,0
57,L00057,L,299.9,311.3,1762,35.4,212,6.533,19.941,0
58,L00058,L,304.3,312.2,1613,30.2,59,5.109,18.709,0
59,L00059,L,300.2,311.0,1308,39.6,223,5.423,30.341,0
60,L00060,L,299.2,307.7,1648,54.1,147,9.345,32.884,1
61,L00061,L,298.7,310.0,1605,28.0,3,4.699,17.542,0
62,L00062,L,303.3,312.6,1391,38.5,87,5.613,27.773,0
63,M00063,M,298.4,307.2,1658,39.9,6,6.932,24.022,0
64,L00064,L,301.5,312.2,1468,36.7,22,5.637,25.019,0
65,L00065,L,298.9,309.2,1456,24.2,45,3.691,16.504,0
66,L00066,L,299.1,308.1,1450,33.6,121,5.106,22.982,0
67,L00067,L,302.1,310.8,1014,33.7,95,3.575,33.114,0
68,M00068,M,299.2,309.1,1395,46.3,37,6.767,33.231,0
69,L00069,L,299.2,308.0,1643,44.2,99,7.602,26.824,0
70,H00070,H,302.3,311.2,1496,24.5,76,3.834,16.387,0
71,M00071,M,303.2,313.3,1243,36.1,103,4.703,29.072,0
72,L00072,L,301.3,310.3,1693,35.0,43,6.204,20.487,0
73,L00073,L,298.7,309.1,1440,59.5,152,8.981,41.29,0
74,M00074,M,299.0,310.5,1256,42.9,11,5.644,34.277,0
75,M00075,M,300.2,310.0,1941,29.2,97,5.941,15.104,0
76,M00076,M,300.6,310.8,1289,32.2,224,4.352,24.929,0
77,M00077,M,298.0,310.0,1676,36.2,105,6.356,21.671,0
78,L00078,L,301.4,310.3,1346,43.6,110,6.15,32.582,0
79,L00079,L,300.2,311.4,1527,44.8,17,7.172,29.325,0
80,L00080,L,296.6,307.6,1320,42.0,151,5.804,31.907,0
81,M00081,M,298.1,309.0,1252,37.9,234,4.97,30.328,0
82,M00082,M,299.0,310.3,1604,38.6,73,6.492,24.035,0
83,L00083,L,299.9,310.1,1581,38.7,98,6.409,24.371,0
